year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,7.46726e+06,304975,0,0,0
2,1.49379e+07,1.15468e+06,0,922747,922747
3,2.24155e+07,2.39233e+06,0,2.75335e+06,2.75335e+06
4,2.98882e+07,3.91767e+06,5.55105e-11,5.47558e+06,5.47558e+06
5,3.7358e+07,5.64302e+06,99966.2,8.97335e+06,8.97335e+06
6,4.48288e+07,7.50528e+06,399931,1.31304e+07,1.31304e+07
7,5.23055e+07,9.48732e+06,999980,1.78285e+07,1.78285e+07
8,5.97885e+07,1.15681e+07,2.00009e+06,2.29488e+07,2.29488e+07
9,6.72647e+07,1.36789e+07,3.49986e+06,2.83732e+07,2.83732e+07
10,7.47375e+07,1.58116e+07,5.50042e+06,3.40795e+07,3.40795e+07
11,8.2214e+07,1.80379e+07,8.00049e+06,4.00521e+07,4.00521e+07
12,8.96832e+07,2.0259e+07,1.10014e+07,4.62669e+07,4.62669e+07
13,9.71567e+07,2.24735e+07,1.45013e+07,5.27038e+07,5.27038e+07
14,1.04637e+08,2.47033e+07,1.85014e+07,5.93397e+07,5.93397e+07
15,1.12108e+08,2.69423e+07,2.30007e+07,6.61518e+07,6.61518e+07
16,1.19581e+08,2.92073e+07,2.8001e+07,7.31125e+07,7.31125e+07
17,1.27054e+08,3.14305e+07,3.35004e+07,8.02016e+07,8.02016e+07
18,1.34535e+08,3.3685e+07,3.95015e+07,8.73905e+07,8.73905e+07
19,1.42013e+08,3.59498e+07,4.60009e+07,9.46556e+07,9.46556e+07
20,1.49489e+08,3.8235e+07,5.30013e+07,1.01971e+08,1.01971e+08
21,1.56961e+08,4.04871e+07,6.05015e+07,1.09311e+08,1.09311e+08
22,1.64429e+08,4.27714e+07,6.84961e+07,1.16648e+08,1.16648e+08
23,1.71909e+08,4.50483e+07,7.6979e+07,1.23963e+08,1.23963e+08
24,1.79385e+08,4.72968e+07,8.59446e+07,1.31233e+08,1.31233e+08
25,1.86854e+08,4.95706e+07,9.53903e+07,1.38427e+08,1.38427e+08
26,1.94323e+08,5.31785e+07,1.05307e+08,1.41167e+08,1.38427e+08
27,2.018e+08,5.70746e+07,1.15225e+08,1.43905e+08,1.38424e+08
28,2.09276e+08,6.11286e+07,1.25143e+08,1.4757e+08,1.39348e+08
29,2.16752e+08,6.53221e+07,1.3506e+08,1.52139e+08,1.41178e+08
30,2.24228e+08,6.96232e+07,1.44979e+08,1.57602e+08,1.439e+08
